id,device_id,temperature,gas,severity,risk_score,allocation,fog_latency,cloud_latency,bandwidth_bytes,sla_violation,timestamp
19,esp19,31.0,551,WARNING,0.571,FOG_AND_CLOUD,6.231322999155964,4650.618553161621,76,1,1771970850.9818573
20,esp20,40.0,426,NORMAL,0.57,CLOUD_EXECUTION,6.287348998739617,4646.266222000122,76,1,1771970850.990696
21,esp21,36.0,521,WARNING,0.594,FOG_AND_CLOUD,6.232830999579164,4644.838333129883,76,1,1771970851.0044336
22,esp22,44.0,514,WARNING,0.653,FOG_AND_CLOUD,6.69029599885107,,0,0,1771970851.0138834
23,esp23,34.0,266,NORMAL,0.428,CLOUD_EXECUTION,7.584218999909353,,0,0,1771970851.0241294
24,esp24,42.0,499,NORMAL,0.629,CLOUD_EXECUTION,6.15675999870291,,0,0,1771970851.0329823
25,esp25,41.0,300,NORMAL,0.504,CLOUD_EXECUTION,6.428767999750562,,0,0,1771970851.041883
26,esp26,31.0,653,WARNING,0.631,FOG_AND_CLOUD,6.343056000332581,,0,0,1771970851.0508149
27,esp27,40.0,594,WARNING,0.668,FOG_AND_CLOUD,6.189320998601033,,0,0,1771970851.0598319
28,esp28,36.0,656,WARNING,0.673,FOG_AND_CLOUD,6.181331000334467,,0,0,1771970851.0686994
29,esp29,35.0,313,NORMAL,0.464,CLOUD_EXECUTION,6.3913400008459575,,0,0,1771970851.0776176
30,esp30,44.0,593,WARNING,0.7,FOG_AND_CLOUD,6.09129299846245,,0,0,1771970851.0862017
31,esp31,27.0,301,NORMAL,0.393,CLOUD_EXECUTION,6.208204998984002,,0,0,1771970851.0950258
32,esp32,33.0,211,NORMAL,0.388,CLOUD_EXECUTION,6.2865239997336175,,0,0,1771970851.1037652
33,esp33,40.0,693,CRITICAL,0.726,FOG_EXECUTION,6.2722800012124935,,0,0,1771970851.1128829
34,esp34,37.0,383,NORMAL,0.521,CLOUD_EXECUTION,6.140815999970073,,0,0,1771970851.122009
35,esp35,43.0,223,NORMAL,0.475,CLOUD_EXECUTION,6.4562010011286475,,0,0,1771970851.1314125
36,esp36,37.0,508,WARNING,0.594,FOG_AND_CLOUD,6.727492000209168,,0,0,1771970851.1401737
37,esp37,41.0,354,NORMAL,0.536,CLOUD_EXECUTION,6.209241999385995,,0,0,1771970851.1488695
38,esp38,33.0,300,NORMAL,0.44,CLOUD_EXECUTION,6.951245000891504,,0,0,1771970851.1597173
39,esp39,35.0,328,NORMAL,0.472,CLOUD_EXECUTION,6.279490000451915,,0,0,1771970851.168572
40,esp40,33.0,437,NORMAL,0.52,CLOUD_EXECUTION,6.151323999802116,,0,0,1771970851.177356
41,esp41,38.0,685,WARNING,0.706,FOG_AND_CLOUD,10.246367000945611,,0,0,1771970851.1904616
42,esp42,26.0,225,NORMAL,0.34,CLOUD_EXECUTION,7.3996109986183,,0,0,1771970851.2016208
43,esp43,26.0,746,WARNING,0.646,FOG_AND_CLOUD,6.137657999715884,,0,0,1771970851.2102308
44,esp44,26.0,591,WARNING,0.555,FOG_AND_CLOUD,6.743846000972553,,0,0,1771970851.2200758
45,esp45,41.0,302,NORMAL,0.505,CLOUD_EXECUTION,6.177625999043812,,0,0,1771970851.2290149
46,esp46,39.0,489,NORMAL,0.599,CLOUD_EXECUTION,6.892102001074818,,0,0,1771970851.238454
47,esp47,37.0,734,WARNING,0.726,FOG_AND_CLOUD,6.227139001566684,,0,0,1771970851.2475593
48,esp48,33.0,521,WARNING,0.57,FOG_AND_CLOUD,6.31676600096398,,0,0,1771970851.2566645
49,esp49,42.0,644,CRITICAL,0.714,FOG_EXECUTION,6.054299999959767,,0,0,1771970851.2652478
50,esp50,39.0,712,CRITICAL,0.73,FOG_EXECUTION,6.655760998910409,,0,0,1771970851.2748446
51,esp1,30.0,213,NORMAL,0.365,CLOUD_EXECUTION,10.117727999386261,,0,0,1771970851.7561352
52,esp2,41.0,261,NORMAL,0.481,CLOUD_EXECUTION,21.060041000964702,,0,0,1771970851.80811
53,esp9,25.0,458,NORMAL,0.469,CLOUD_EXECUTION,26.679009999497794,,0,0,1771970851.8411348
54,esp3,40.0,433,NORMAL,0.574,CLOUD_EXECUTION,11.349469999913708,,0,0,1771970851.8576505
55,esp6,33.0,378,NORMAL,0.486,CLOUD_EXECUTION,6.038998000803986,,0,0,1771970851.866613
56,esp7,25.0,517,WARNING,0.503,FOG_AND_CLOUD,6.0253730007389095,,0,0,1771970851.8753312
57,esp5,32.0,600,WARNING,0.608,FOG_AND_CLOUD,6.034995998561499,,0,0,1771970851.884341
58,esp4,25.0,389,NORMAL,0.428,CLOUD_EXECUTION,6.188544999531587,,0,0,1771970851.8929691
59,esp8,30.0,542,WARNING,0.558,FOG_AND_CLOUD,6.354350998662994,,0,0,1771970851.9019258
60,esp17,28.0,238,NORMAL,0.364,CLOUD_EXECUTION,6.103503999838722,,0,0,1771970851.9113028
61,esp15,25.0,603,WARNING,0.554,FOG_AND_CLOUD,6.593099000383518,,0,0,1771970851.932846
62,esp11,40.0,729,CRITICAL,0.748,FOG_EXECUTION,6.77964799979236,,0,0,1771970851.942291
63,esp10,41.0,495,NORMAL,0.618,CLOUD_EXECUTION,7.193553999968572,,0,0,1771970851.9521515
64,esp12,39.0,767,CRITICAL,0.762,FOG_EXECUTION,6.609211999602849,,0,0,1771970851.9614584
65,esp18,28.0,204,NORMAL,0.344,CLOUD_EXECUTION,7.516748000853113,,0,0,1771970851.97195
66,esp14,37.0,556,WARNING,0.622,FOG_AND_CLOUD,6.68558700090216,,0,0,1771970851.9814978
67,esp13,25.0,325,NORMAL,0.391,CLOUD_EXECUTION,7.770985999741242,,0,0,1771970851.9912348
68,esp26,25.0,695,WARNING,0.608,FOG_AND_CLOUD,6.425176999982796,,0,0,1771970852.0001872
69,esp22,26.0,648,WARNING,0.588,FOG_AND_CLOUD,6.154471999252564,,0,0,1771970852.0089214
70,esp19,40.0,298,NORMAL,0.495,CLOUD_EXECUTION,6.350954001391074,,0,0,1771970852.01932
71,esp24,29.0,230,NORMAL,0.367,CLOUD_EXECUTION,6.5724780015443685,,0,0,1771970852.030101
72,esp23,39.0,580,WARNING,0.652,FOG_AND_CLOUD,6.461253999077599,,0,0,1771970852.0401213
73,esp20,40.0,200,NORMAL,0.437,CLOUD_EXECUTION,6.694880999930319,,0,0,1771970852.0499895
74,esp16,41.0,618,CRITICAL,0.69,FOG_EXECUTION,6.54747199951089,,0,0,1771970852.0589654
75,esp34,28.0,437,NORMAL,0.48,CLOUD_EXECUTION,6.2433410002995515,,0,0,1771970852.0679917
76,esp27,40.0,253,NORMAL,0.468,CLOUD_EXECUTION,6.195216001287918,,0,0,1771970852.0769827
77,esp25,38.0,745,WARNING,0.741,FOG_AND_CLOUD,6.861716001367313,,0,0,1771970852.0864327
78,esp29,42.0,592,WARNING,0.683,FOG_AND_CLOUD,7.341172999076662,,0,0,1771970852.0956001
79,esp30,43.0,271,NORMAL,0.503,CLOUD_EXECUTION,6.388502999470802,,0,0,1771970852.1046648
80,esp31,27.0,569,WARNING,0.55,FOG_AND_CLOUD,6.528465000883443,,0,0,1771970852.113856
81,esp32,40.0,632,CRITICAL,0.691,FOG_EXECUTION,6.865041999844834,,0,0,1771970852.1233587
82,esp36,25.0,232,NORMAL,0.336,CLOUD_EXECUTION,7.7465180002036504,,0,0,1771970852.1335194
83,esp37,33.0,653,WARNING,0.647,FOG_AND_CLOUD,9.57818500137364,,0,0,1771970852.1459286
84,esp33,37.0,274,NORMAL,0.457,CLOUD_EXECUTION,9.709698000733624,,0,0,1771970852.1593742
85,esp35,30.0,645,WARNING,0.618,FOG_AND_CLOUD,9.603107999282656,,0,0,1771970852.1726096
86,esp21,33.0,625,WARNING,0.631,FOG_AND_CLOUD,6.357333999403636,,0,0,1771970852.1822767
87,esp39,38.0,481,NORMAL,0.586,CLOUD_EXECUTION,6.370637000145507,,0,0,1771970852.1911051
88,esp40,34.0,393,NORMAL,0.502,CLOUD_EXECUTION,6.213844999365392,,0,0,1771970852.1999776
89,esp50,39.0,522,WARNING,0.618,FOG_AND_CLOUD,6.260490999920876,,0,0,1771970852.2089002
90,esp42,39.0,401,NORMAL,0.547,CLOUD_EXECUTION,6.335228001262294,,0,0,1771970852.21788
91,esp38,38.0,289,NORMAL,0.474,CLOUD_EXECUTION,6.195772999490146,,0,0,1771970852.2265072
92,esp45,44.0,720,CRITICAL,0.774,FOG_EXECUTION,7.414293000692851,,0,0,1771970852.236471
93,esp44,34.0,607,WARNING,0.628,FOG_AND_CLOUD,7.46412900116411,,0,0,1771970852.2466583
94,esp46,41.0,430,NORMAL,0.58,CLOUD_EXECUTION,6.757233999451273,,0,0,1771970852.2559416
95,esp48,29.0,375,NORMAL,0.452,CLOUD_EXECUTION,6.482564998805174,,0,0,1771970852.265083
96,esp41,31.0,634,WARNING,0.62,FOG_AND_CLOUD,7.008070000665612,,0,0,1771970852.2745955
97,esp49,28.0,767,WARNING,0.674,FOG_AND_CLOUD,6.680893000520882,,0,0,1771970852.2840989
98,esp43,33.0,485,NORMAL,0.548,CLOUD_EXECUTION,6.440044999180827,,0,0,1771970852.2932472
99,esp28,31.0,521,WARNING,0.554,FOG_AND_CLOUD,6.185118001667433,,0,0,1771970852.3022141
100,esp47,45.0,660,CRITICAL,0.747,FOG_EXECUTION,7.009939999989001,,0,0,1771970852.3114212
101,esp2,42.0,455,NORMAL,0.603,CLOUD_EXECUTION,19.17288799995731,,0,0,1771970852.7675257
102,esp1,36.0,690,WARNING,0.693,FOG_AND_CLOUD,20.487978999881307,,0,0,1771970852.8046052
103,esp9,42.0,741,CRITICAL,0.771,FOG_EXECUTION,6.174065998493461,,0,0,1771970852.813714
104,esp3,29.0,352,NORMAL,0.438,CLOUD_EXECUTION,6.45732299926749,,0,0,1771970852.8230057
105,esp6,39.0,636,CRITICAL,0.685,FOG_EXECUTION,6.3479330001428025,,0,0,1771970852.832161
106,esp5,41.0,307,NORMAL,0.508,CLOUD_EXECUTION,7.400436999887461,,0,0,1771970852.8421512
107,esp7,44.0,286,NORMAL,0.52,CLOUD_EXECUTION,6.8288879992906,,0,0,1771970852.851623
108,esp4,41.0,383,NORMAL,0.553,CLOUD_EXECUTION,6.44456000009086,,0,0,1771970852.860503
109,esp8,33.0,426,NORMAL,0.514,CLOUD_EXECUTION,6.196942000315175,,0,0,1771970852.8699322
110,esp14,42.0,363,NORMAL,0.549,CLOUD_EXECUTION,6.114085001172498,,0,0,1771970852.878475
111,esp19,34.0,589,WARNING,0.617,FOG_AND_CLOUD,7.0732189997215755,,0,0,1771970852.8873785
112,esp15,31.0,718,WARNING,0.669,FOG_AND_CLOUD,6.345707999571459,,0,0,1771970852.8961906
113,esp11,29.0,701,WARNING,0.643,FOG_AND_CLOUD,6.277702001170837,,0,0,1771970852.9050481
114,esp10,43.0,315,NORMAL,0.529,CLOUD_EXECUTION,6.205724999745144,,0,0,1771970852.914298
115,esp12,39.0,756,CRITICAL,0.755,FOG_EXECUTION,6.278877999648103,,0,0,1771970852.92301
116,esp17,31.0,668,WARNING,0.64,FOG_AND_CLOUD,6.259370000407216,,0,0,1771970852.9321709
117,esp18,42.0,360,NORMAL,0.547,CLOUD_EXECUTION,6.124961000750773,,0,0,1771970852.9409873
118,esp34,28.0,675,WARNING,0.62,FOG_AND_CLOUD,6.482165999841527,,0,0,1771970852.951212
119,esp22,42.0,426,NORMAL,0.586,CLOUD_EXECUTION,6.391605998942396,,0,0,1771970852.961652
120,esp24,41.0,700,CRITICAL,0.739,FOG_EXECUTION,6.504064998807735,,0,0,1771970852.9708223
121,esp35,31.0,246,NORMAL,0.392,CLOUD_EXECUTION,6.98314400142408,,0,0,1771970852.980727
122,esp26,44.0,784,CRITICAL,0.812,FOG_EXECUTION,7.926455000415444,,0,0,1771970852.9912374
123,esp25,44.0,202,NORMAL,0.47,CLOUD_EXECUTION,9.614529999453225,,0,0,1771970853.0042846
124,esp32,32.0,591,WARNING,0.603,FOG_AND_CLOUD,10.291247001077863,,0,0,1771970853.0254946
125,esp16,37.0,489,NORMAL,0.583,CLOUD_EXECUTION,6.218874999831314,,0,0,1771970853.034305
126,esp37,43.0,468,NORMAL,0.618,CLOUD_EXECUTION,6.403573999705259,,0,0,1771970853.0434065
127,esp21,31.0,336,NORMAL,0.445,CLOUD_EXECUTION,6.309979999059578,,0,0,1771970853.052216
128,esp13,25.0,674,WARNING,0.595,FOG_AND_CLOUD,6.178538998938166,,0,0,1771970853.0610323
129,esp36,25.0,285,NORMAL,0.367,CLOUD_EXECUTION,6.403823999789893,,0,0,1771970853.0702357
130,esp23,36.0,766,WARNING,0.737,FOG_AND_CLOUD,6.332169999950565,,0,0,1771970853.0793731
131,esp50,31.0,692,WARNING,0.654,FOG_AND_CLOUD,6.775704001483973,,0,0,1771970853.0889833
132,esp42,27.0,747,WARNING,0.654,FOG_AND_CLOUD,6.891779001307441,,0,0,1771970853.0985637
133,esp39,36.0,507,WARNING,0.585,FOG_AND_CLOUD,8.442565000223112,,0,0,1771970853.109902
134,esp30,26.0,315,NORMAL,0.393,CLOUD_EXECUTION,11.589771000217297,,0,0,1771970853.124889
135,esp33,28.0,224,NORMAL,0.355,CLOUD_EXECUTION,9.603905000403756,,0,0,1771970853.1372845
136,esp20,29.0,350,NORMAL,0.437,CLOUD_EXECUTION,9.649116998843965,,0,0,1771970853.149716
137,esp28,30.0,794,WARNING,0.706,FOG_AND_CLOUD,9.480621998591232,,0,0,1771970853.1628883
138,esp48,25.0,577,WARNING,0.538,FOG_AND_CLOUD,6.332753000606317,,0,0,1771970853.1721094
139,esp49,34.0,200,NORMAL,0.389,CLOUD_EXECUTION,7.21975699889299,,0,0,1771970853.1823404
140,esp43,45.0,555,WARNING,0.686,FOG_AND_CLOUD,15.369834000011906,,0,0,1771970853.200545
141,esp41,34.0,537,WARNING,0.587,FOG_AND_CLOUD,10.7271889992262,,0,0,1771970853.214772
142,esp47,36.0,545,WARNING,0.608,FOG_AND_CLOUD,8.08029799918586,,0,0,1771970853.2274263
143,esp44,44.0,734,CRITICAL,0.782,FOG_EXECUTION,9.889416998703382,,0,0,1771970853.2404618
144,esp31,45.0,516,WARNING,0.663,FOG_AND_CLOUD,7.049646999803372,,0,0,1771970853.2519572
145,esp29,33.0,719,WARNING,0.686,FOG_AND_CLOUD,6.360391000271193,,0,0,1771970853.2644708
146,esp27,45.0,729,CRITICAL,0.788,FOG_EXECUTION,6.4736830008769175,,0,0,1771970853.2770395
147,esp46,41.0,231,NORMAL,0.463,CLOUD_EXECUTION,6.3304640007118,,0,0,1771970853.2864752
148,esp40,40.0,615,CRITICAL,0.681,FOG_EXECUTION,6.114591998994001,,0,0,1771970853.2953696
149,esp38,31.0,680,WARNING,0.647,FOG_AND_CLOUD,6.334223000521888,,0,0,1771970853.3044672
150,esp45,41.0,432,NORMAL,0.581,CLOUD_EXECUTION,6.057679000150529,,0,0,1771970853.3131487
151,esp1,27.0,659,WARNING,0.603,FOG_AND_CLOUD,8.794868999757455,,0,0,1771970853.7566974
152,esp2,33.0,766,WARNING,0.713,FOG_AND_CLOUD,5.867006999324076,,0,0,1771970853.7944767
153,esp3,36.0,280,NORMAL,0.452,CLOUD_EXECUTION,6.419858000299428,,0,0,1771970853.8037026
154,esp9,28.0,550,WARNING,0.547,FOG_AND_CLOUD,6.236432998775854,,0,0,1771970853.812338
155,esp6,28.0,573,WARNING,0.56,FOG_AND_CLOUD,6.368489001033595,,0,0,1771970853.851323
156,esp5,28.0,668,WARNING,0.616,FOG_AND_CLOUD,6.281137999394559,,0,0,1771970853.8601775
157,esp4,34.0,620,WARNING,0.636,FOG_AND_CLOUD,6.361454999932903,,0,0,1771970853.869681
158,esp7,39.0,252,NORMAL,0.46,CLOUD_EXECUTION,6.169603000671486,,0,0,1771970853.8783493
159,esp8,37.0,318,NORMAL,0.483,CLOUD_EXECUTION,6.16235699999379,,0,0,1771970853.8869846
160,esp22,27.0,462,NORMAL,0.487,CLOUD_EXECUTION,6.329738000204088,,0,0,1771970853.8962162
161,esp19,44.0,314,NORMAL,0.536,CLOUD_EXECUTION,6.155467999633402,,0,0,1771970853.905654
162,esp15,33.0,640,WARNING,0.639,FOG_AND_CLOUD,6.223029999091523,,0,0,1771970853.9144647
163,esp17,44.0,617,CRITICAL,0.714,FOG_EXECUTION,7.682391998969251,,0,0,1771970853.9239457
164,esp11,26.0,449,NORMAL,0.471,CLOUD_EXECUTION,6.655786000919761,,0,0,1771970853.933666
165,esp18,43.0,526,WARNING,0.653,FOG_AND_CLOUD,7.307833000595565,,0,0,1771970853.9436858
166,esp10,44.0,715,CRITICAL,0.771,FOG_EXECUTION,6.355860999974539,,0,0,1771970853.9524052
167,esp12,27.0,624,WARNING,0.582,FOG_AND_CLOUD,6.427099000575254,,0,0,1771970853.9615695
168,esp21,32.0,794,WARNING,0.722,FOG_AND_CLOUD,6.358814000122948,,0,0,1771970853.9703906
169,esp14,36.0,746,WARNING,0.726,FOG_AND_CLOUD,6.184197000038694,,0,0,1771970853.979963
170,esp34,40.0,360,NORMAL,0.531,CLOUD_EXECUTION,7.21519099897705,,0,0,1771970853.9904172
171,esp13,32.0,383,NORMAL,0.481,CLOUD_EXECUTION,6.180379999932484,,0,0,1771970853.9992673
172,esp36,32.0,737,WARNING,0.688,FOG_AND_CLOUD,6.320125999991433,,0,0,1771970854.0092707
173,esp42,45.0,466,NORMAL,0.633,CLOUD_EXECUTION,7.74065400037216,,0,0,1771970854.0201526
174,esp24,26.0,764,WARNING,0.656,FOG_AND_CLOUD,6.395866999810096,,0,0,1771970854.0295384
175,esp25,44.0,726,CRITICAL,0.778,FOG_EXECUTION,8.414711001023534,,0,0,1771970854.0419242
176,esp26,31.0,753,WARNING,0.69,FOG_AND_CLOUD,7.063572998958989,,0,0,1771970854.055101
177,esp35,30.0,463,NORMAL,0.512,CLOUD_EXECUTION,6.184537998706219,,0,0,1771970854.0639002
178,esp49,28.0,463,NORMAL,0.496,CLOUD_EXECUTION,6.228956999621005,,0,0,1771970854.0727007
179,esp37,43.0,787,CRITICAL,0.806,FOG_EXECUTION,6.960420998439076,,0,0,1771970854.0823526
180,esp16,33.0,604,WARNING,0.618,FOG_AND_CLOUD,6.284769999183482,,0,0,1771970854.0918024
181,esp30,30.0,213,NORMAL,0.365,CLOUD_EXECUTION,6.172157000037259,,0,0,1771970854.1006346
182,esp23,41.0,700,CRITICAL,0.739,FOG_EXECUTION,6.215523000719259,,0,0,1771970854.109763
183,esp20,29.0,609,WARNING,0.589,FOG_AND_CLOUD,6.202316000781138,,0,0,1771970854.1189165
184,esp33,35.0,474,NORMAL,0.558,CLOUD_EXECUTION,6.090490998758469,,0,0,1771970854.1276042
185,esp39,26.0,481,NORMAL,0.49,CLOUD_EXECUTION,6.157238000014331,,0,0,1771970854.136618
186,esp50,45.0,498,NORMAL,0.652,CLOUD_EXECUTION,6.0397070010367315,,0,0,1771970854.145987
187,esp48,42.0,464,NORMAL,0.608,CLOUD_EXECUTION,6.258773999434197,,0,0,1771970854.1546981
188,esp28,30.0,724,WARNING,0.665,FOG_AND_CLOUD,6.124290999650839,,0,0,1771970854.163224
189,esp41,26.0,433,NORMAL,0.462,CLOUD_EXECUTION,6.033173000105307,,0,0,1771970854.1724858
190,esp40,25.0,262,NORMAL,0.354,CLOUD_EXECUTION,6.255575999603025,,0,0,1771970854.1814613
191,esp32,38.0,510,WARNING,0.603,FOG_AND_CLOUD,8.11770099971909,,0,0,1771970854.19169
192,esp31,32.0,413,NORMAL,0.498,CLOUD_EXECUTION,6.144386001324165,,0,0,1771970854.2003562
193,esp44,34.0,366,NORMAL,0.487,CLOUD_EXECUTION,9.293846998843946,,0,0,1771970854.2131958
194,esp27,30.0,293,NORMAL,0.412,CLOUD_EXECUTION,7.4758310001925565,,0,0,1771970854.2236006
195,esp38,30.0,389,NORMAL,0.468,CLOUD_EXECUTION,8.502070000758977,,0,0,1771970854.2350168
196,esp43,36.0,757,WARNING,0.732,FOG_AND_CLOUD,6.352925000101095,,0,0,1771970854.2439625
197,esp45,25.0,477,NORMAL,0.48,CLOUD_EXECUTION,6.638150998696801,,0,0,1771970854.253116
198,esp47,34.0,698,WARNING,0.681,FOG_AND_CLOUD,6.189449999510543,,0,0,1771970854.2620535
199,esp46,35.0,768,WARNING,0.73,FOG_AND_CLOUD,8.37454400061688,,0,0,1771970854.2732995
200,esp29,39.0,713,CRITICAL,0.73,FOG_EXECUTION,6.264043999181013,,0,0,1771970854.2821531
201,esp1,36.0,611,WARNING,0.646,FOG_AND_CLOUD,28.256736000912497,,0,0,1771970854.7788463
202,esp2,44.0,759,CRITICAL,0.797,FOG_EXECUTION,17.256559998713783,,0,0,1771970854.8144333
203,esp3,36.0,397,NORMAL,0.521,CLOUD_EXECUTION,6.418287999622407,,0,0,1771970854.8239784
204,esp9,30.0,382,NORMAL,0.464,CLOUD_EXECUTION,6.872173998999642,,0,0,1771970854.8335521
205,esp6,34.0,338,NORMAL,0.47,CLOUD_EXECUTION,6.584554999790271,,0,0,1771970854.843127
206,esp5,39.0,685,CRITICAL,0.714,FOG_EXECUTION,6.304174999968382,,0,0,1771970854.8611715
207,esp7,33.0,336,NORMAL,0.461,CLOUD_EXECUTION,6.271735999689554,,0,0,1771970854.870044
208,esp4,40.0,424,NORMAL,0.569,CLOUD_EXECUTION,6.318891000773874,,0,0,1771970854.879098
209,esp15,34.0,332,NORMAL,0.467,CLOUD_EXECUTION,6.451863999245688,,0,0,1771970854.8880026
210,esp19,35.0,308,NORMAL,0.461,CLOUD_EXECUTION,6.285467999987304,,0,0,1771970854.8968513
211,esp22,37.0,304,NORMAL,0.474,CLOUD_EXECUTION,6.133801998657873,,0,0,1771970854.9053893
212,esp8,34.0,511,WARNING,0.572,FOG_AND_CLOUD,6.190068999785581,,0,0,1771970854.9140723
213,esp10,36.0,515,WARNING,0.59,FOG_AND_CLOUD,6.121598000390804,,0,0,1771970854.9226754
214,esp17,39.0,356,NORMAL,0.521,CLOUD_EXECUTION,6.298526001046412,,0,0,1771970854.9314637
215,esp11,42.0,474,NORMAL,0.614,CLOUD_EXECUTION,6.378030999258044,,0,0,1771970854.9404597
216,esp14,27.0,322,NORMAL,0.405,CLOUD_EXECUTION,6.881231000079424,,0,0,1771970854.949831
217,esp12,37.0,291,NORMAL,0.467,CLOUD_EXECUTION,6.0721380014001625,,0,0,1771970854.958666
218,esp21,45.0,408,NORMAL,0.599,CLOUD_EXECUTION,6.227550999028608,,0,0,1771970854.9683263
219,esp18,41.0,680,CRITICAL,0.727,FOG_EXECUTION,6.17994400090538,,0,0,1771970854.977918
220,esp36,44.0,620,CRITICAL,0.716,FOG_EXECUTION,7.683822001126828,,0,0,1771970854.9879572
221,esp34,35.0,455,NORMAL,0.547,CLOUD_EXECUTION,7.8208699997048825,,0,0,1771970854.9989104
222,esp13,36.0,475,NORMAL,0.567,CLOUD_EXECUTION,6.2904529986553825,,0,0,1771970855.007629
223,esp42,26.0,694,WARNING,0.615,FOG_AND_CLOUD,6.133713000963326,,0,0,1771970855.0165718
224,esp26,25.0,239,NORMAL,0.34,CLOUD_EXECUTION,6.1562120008602506,,0,0,1771970855.0253422
225,esp35,35.0,232,NORMAL,0.416,CLOUD_EXECUTION,6.206874999406864,,0,0,1771970855.034113
226,esp25,37.0,598,WARNING,0.647,FOG_AND_CLOUD,7.467220000762609,,0,0,1771970855.0441377
227,esp24,25.0,297,NORMAL,0.374,CLOUD_EXECUTION,6.8193840015737806,,0,0,1771970855.0535023
228,esp49,35.0,642,WARNING,0.657,FOG_AND_CLOUD,6.1019219992886065,,0,0,1771970855.0622258
229,esp16,44.0,765,CRITICAL,0.801,FOG_EXECUTION,6.388137000612915,,0,0,1771970855.071144
230,esp37,26.0,459,NORMAL,0.477,CLOUD_EXECUTION,6.010383000102593,,0,0,1771970855.079995
231,esp20,38.0,518,WARNING,0.608,FOG_AND_CLOUD,6.483514000137802,,0,0,1771970855.0891876
232,esp30,28.0,565,WARNING,0.555,FOG_AND_CLOUD,6.123945999206626,,0,0,1771970855.0980756
233,esp33,33.0,615,WARNING,0.625,FOG_AND_CLOUD,7.016504001512658,,0,0,1771970855.1076944
234,esp50,45.0,571,WARNING,0.695,FOG_AND_CLOUD,6.119757001215476,,0,0,1771970855.1163049
235,esp39,27.0,531,WARNING,0.527,FOG_AND_CLOUD,6.2151639995136065,,0,0,1771970855.1249826
236,esp23,30.0,551,WARNING,0.563,FOG_AND_CLOUD,6.581257999641821,,0,0,1771970855.1340353
237,esp28,31.0,718,WARNING,0.669,FOG_AND_CLOUD,6.163419999211328,,0,0,1771970855.1431258
238,esp48,44.0,473,NORMAL,0.629,CLOUD_EXECUTION,6.16350199925364,,0,0,1771970855.1520207
239,esp40,38.0,285,NORMAL,0.471,CLOUD_EXECUTION,6.258254999920609,,0,0,1771970855.1609685
240,esp41,27.0,545,WARNING,0.536,FOG_AND_CLOUD,6.194913999934215,,0,0,1771970855.169905
241,esp32,25.0,458,NORMAL,0.469,CLOUD_EXECUTION,6.416254000214394,,0,0,1771970855.1790981
242,esp44,39.0,314,NORMAL,0.496,CLOUD_EXECUTION,6.264490999456029,,0,0,1771970855.1879964
243,esp47,45.0,746,CRITICAL,0.798,FOG_EXECUTION,6.1117940003896365,,0,0,1771970855.1966166
244,esp38,32.0,241,NORMAL,0.397,CLOUD_EXECUTION,7.040865999442758,,0,0,1771970855.2065797
